Unnamed: 0,link,text,user,likes,quotes,retweets,comments,cleaned_text
30,https://twitter.com/elonmusk/status/1800031708508815588#m,Stream on 𝕏!,Elon Musk,66986,220,7183,3707,Stream 𝕏
31,https://twitter.com/elonmusk/status/1800027167163929070#m,My dream is to reach Uranus 💫,Elon Musk,200445,3953,17064,23631,dream reach Uranus
32,https://twitter.com/elonmusk/status/1799902072529375539#m,Thanks Milan!  You’ve built the Optimus team from nothing to the most sophisticated humanoid robot in the world.,Elon Musk,39699,117,4858,2495,Thanks Milan Youve built Optimus team nothing sophisticated humanoid robot world
33,https://twitter.com/elonmusk/status/1799650788848841069#m,"Thanks Ashok!   Ashok was the first person to join the Tesla AI/Autopilot team and ultimately rose to lead all AI/Autopilot software.   Without him and our awesome team, we would just be another car company looking for an autonomy supplier that doesn’t exist.   Btw, I never suggested that he say anything and I had no idea he wrote this until I saw it 10 mins ago!",Elon Musk,111636,10126,13677,5074,Thanks Ashok Ashok first person join Tesla AIAutopilot team ultimately rose lead AIAutopilot software Without awesome team would another car company looking autonomy supplier doesnt exist Btw never suggested say anything idea wrote saw 10 min ago
34,https://twitter.com/TeslaBoomerMama/status/1799519148776833160#m,"Please everyone check that they voted with EVERY account holding TSLA shares. You should have a control number PER account, or a link from your broker per account. Otherwise contact them, then vote on proxyvote.com #VotedTesla24",Ale𝕏andra Merz,4781,49,1230,351,Please everyone check voted EVERY account holding TSLA share control number PER account link broker per account Otherwise contact vote proxyvotecom VotedTesla24
35,https://twitter.com/elonmusk/status/1799644167171125613#m,"Publish full-length, complex articles on 𝕏!",Elon Musk,30160,145,4075,2285,Publish fulllength complex article 𝕏
36,https://twitter.com/cb_doge/status/1799631703755170009#m,All the details about voting can be found on VoteTesla.com,DogeDesigner,4369,62,1228,341,detail voting found VoteTeslacom
37,https://twitter.com/elonmusk/status/1799640950752641233#m,"Sorry it’s taken so long to make it happen, but we’re super close now",Elon Musk,113025,614,11994,5266,Sorry taken long make happen super close
38,https://twitter.com/elonmusk/status/1799621606744162548#m,"I’ve mentioned something like this before, but, if any of my companies goes public, we will prioritize other longtime shareholders of my other companies, including Tesla.  Loyalty deserves loyalty.",Elon Musk,195283,1242,17167,7859,Ive mentioned something like company go public prioritize longtime shareholder company including Tesla Loyalty deserves loyalty
39,https://twitter.com/elonmusk/status/1799598428772520315#m,,Elon Musk,141060,752,13920,4263,
40,https://twitter.com/elonmusk/status/1799577948262957370#m,Please take a moment to vote your Tesla shares before the annual meeting on Thursday.   Lmk in comments if you encounter any issues.,Elon Musk,46715,501,7101,7737,Please take moment vote Tesla share annual meeting Thursday Lmk comment encounter issue
41,https://twitter.com/elonmusk/status/1799525711872417864#m,Ship it,Elon Musk,382877,835,22764,7001,Ship
42,https://twitter.com/elonmusk/status/1799508860006170952#m,…,Elon Musk,52465,271,4979,3190,
43,https://twitter.com/elonmusk/status/1799505660813455441#m,𝕏 is the global news,Elon Musk,80708,740,10828,6671,𝕏 global news
44,https://twitter.com/elonmusk/status/1799497454812844047#m,"Starship booster makes soft landing in water, next landing will be caught by the tower arms",Elon Musk,236886,1361,20392,7302,Starship booster make soft landing water next landing caught tower arm
45,https://twitter.com/elonmusk/status/1799417761539805431#m,,Elon Musk,428973,5504,93519,25813,
46,https://twitter.com/cb_doge/status/1799178833305997496#m,Share this with your friends who still believe the legacy media news.  𝕏 is the #1 news app in the US (AppStore),DogeDesigner,9851,142,1998,733,Share friend still believe legacy medium news 𝕏 1 news app US AppStore
47,https://twitter.com/elonmusk/status/1799282802103341466#m,Wow,Elon Musk,385434,5989,88046,12440,Wow
48,https://twitter.com/SpaceX/status/1799279710675014066#m,Falcon 9 launches 22 @Starlink satellites to orbit from Florida,SpaceX,17160,101,2363,749,Falcon 9 launch 22 Starlink satellite orbit Florida
49,https://twitter.com/elonmusk/status/1799282138304385331#m,Cool,Elon Musk,135995,700,18520,5936,Cool
50,https://twitter.com/elonmusk/status/1799281485977092426#m,300,Elon Musk,149322,501,11805,4434,300
51,https://twitter.com/elonmusk/status/1799120923716354252#m,Another Falcon 9 launch!   Falcon alone is trending to set a world record for the most amount of mass Earth delivers to orbit in a year.,Elon Musk,46757,205,5161,2827,Another Falcon 9 launch Falcon alone trending set world record amount mass Earth delivers orbit year
52,https://twitter.com/elonmusk/status/1799119259177488540#m,Congratulations @narendramodi on your victory in the world’s largest democratic elections! Looking forward to my companies doing exciting work in India.,Elon Musk,414545,3636,52805,13846,Congratulations narendramodi victory world largest democratic election Looking forward company exciting work India
53,https://twitter.com/elonmusk/status/1798947378109796435#m,"Worth mentioning that switching to ultra hard, cold-rolled stainless steel for Starship is what led me to make Cybertruck out of it too",Elon Musk,17096,96,1785,1107,Worth mentioning switching ultra hard coldrolled stainless steel Starship led make Cybertruck
54,https://twitter.com/elonmusk/status/1798937746624631249#m,If you want a detailed explanation of why I switched Starship from carbon fiber to stainless steel,Elon Musk,87136,1358,12760,4419,want detailed explanation switched Starship carbon fiber stainless steel
55,https://twitter.com/elonmusk/status/1798848426895200567#m,"Note, a newer version of Starship has the forward flaps shifted leeward. This will help improve reliability, ease of manufacturing and payload to orbit.",Elon Musk,16573,93,1605,845,Note newer version Starship forward flap shifted leeward help improve reliability ease manufacturing payload orbit
56,https://twitter.com/elonmusk/status/1798846199635869945#m,Not a difficult prediction! We will have this nailed for next flight.,Elon Musk,95386,349,9720,3444,difficult prediction nailed next flight
57,https://twitter.com/elonmusk/status/1798838547333763150#m,Starship weighs 5000 tons on liftoff,Elon Musk,390749,3062,41563,15707,Starship weighs 5000 ton liftoff
58,https://twitter.com/elonmusk/status/1798837841319141829#m,Starship separates from booster,Elon Musk,241139,412,13057,3665,Starship separate booster
59,https://twitter.com/elonmusk/status/1798837571226657001#m,Starship reentering like a meteor,Elon Musk,741440,1739,42491,10180,Starship reentering like meteor
60,https://twitter.com/Tesla/status/1798472011678966221#m,Congrats 4680 Cell Manufacturing team on building their 50 millionth battery cell at Giga Texas!,Tesla,15937,210,2237,726,Congrats 4680 Cell Manufacturing team building 50 millionth battery cell Giga Texas
61,https://twitter.com/SpaceX/status/1798792222743122164#m,"Starship made a controlled reentry, successfully making it through the phases of peak heating and max aerodynamic pressure and demonstrating the ability to control the vehicle using its flaps while descending through the atmosphere at hypersonic speeds",SpaceX,40570,565,5568,1200,Starship made controlled reentry successfully making phase peak heating max aerodynamic pressure demonstrating ability control vehicle using flap descending atmosphere hypersonic speed
62,https://twitter.com/SpaceX/status/1798789555342200964#m,"Starship’s fourth flight test launched with ambitious goals, attempting to go farther than any previous test before and begin demonstrating capabilities central to return and reuse of Starship and Super Heavy.   The payload for this test was the data.  Starship delivered → spacex.com/launches/mission/…",SpaceX,36024,263,3862,1060,Starships fourth flight test launched ambitious goal attempting go farther previous test begin demonstrating capability central return reuse Starship Super Heavy payload test data Starship delivered spacexcomlaunchesmission
63,https://twitter.com/elonmusk/status/1798821071128608972#m,Thanks Cathie,Elon Musk,72956,274,7530,2204,Thanks Cathie
64,https://twitter.com/tesla_na/status/1798777863082266833#m,Pour one out!   Tesla Mezcal now available in the US → teslamezcal.tesla.com,Tesla North America,6543,130,1119,378,Pour one Tesla Mezcal available US teslamezcalteslacom
65,https://twitter.com/elonmusk/status/1798819636181713280#m,,Elon Musk,303064,1565,27735,6907,
66,https://twitter.com/elonmusk/status/1798751837920936278#m,Today was a great day for humanity’s future as a spacefaring civilization!  Nothing unites us more than working together towards inspiring objectives.,Elon Musk,198330,1243,17333,8749,Today great day humanity future spacefaring civilization Nothing unites u working together towards inspiring objective
67,https://twitter.com/elonmusk/status/1798745841836110239#m,Accurate 😂,Elon Musk,161800,481,9343,3486,Accurate
68,https://twitter.com/elonmusk/status/1798745564898840872#m,"We did switch to a passive (mostly) glass heat shield, rather than actively-cooled steel, as the latter was heavier, at least according to initial calculations",Elon Musk,9970,34,1009,581,switch passive mostly glass heat shield rather activelycooled steel latter heavier least according initial calculation
69,https://twitter.com/elonmusk/status/1798744793478213771#m,"Why is Starship made of stainless steel? This article from 5 years ago explains the reasons.  Worth noting that the ship would have failed on reentry if made of aluminum or carbon fiber, as they can’t take the heat.  https://www.popularmechanics.com/space/rockets/a25953663/elon-musk-spacex-bfr-stainless-steel/",Elon Musk,74287,456,9480,3763,Starship made stainless steel article 5 year ago explains reason Worth noting ship would failed reentry made aluminum carbon fiber cant take heat
70,https://twitter.com/elonmusk/status/1798735740018516218#m,🚀🚀 Stainless Steel Rocket 🚀🚀,Elon Musk,120238,693,7500,5915,Stainless Steel Rocket
71,https://twitter.com/SpaceX/status/1798732434026172509#m,Flight 4 liftoff from Starbase,SpaceX,55528,443,6777,1111,Flight 4 liftoff Starbase
